title,link
"Generate AI Videos with Google Veo3, Save to Google Drive and Upload to YouTube",https://n8n.io/workflows/4846-generate-ai-videos-with-google-veo3-save-to-google-drive-and-upload-to-youtube/
"AI-Powered WhatsApp Chatbot for Text, Voice, Images, and PDF with RAG",https://n8n.io/workflows/4827-ai-powered-whatsapp-chatbot-for-text-voice-images-and-pdf-with-rag/
Gmail AI Email Manager,https://n8n.io/workflows/4722-gmail-ai-email-manager/
🚀 Transform Podcasts into Viral TikTok Clips with Gemini AI & Auto-Posting ✅,https://n8n.io/workflows/4568-transform-podcasts-into-viral-tiktok-clips-with-gemini-ai-and-auto-posting/
"Automated Invoice Processing with Telegram, GPT-4o, OCR and SAP Integration",https://n8n.io/workflows/4849-automated-invoice-processing-with-telegram-gpt-4o-ocr-and-sap-integration/
AI Personal Assistant,https://n8n.io/workflows/4723-ai-personal-assistant/
Auto-Create Podcast from YouTube Transcript using Dumpling AI and GPT-4o,https://n8n.io/workflows/4887-auto-create-podcast-from-youtube-transcript-using-dumpling-ai-and-gpt-4o/
Turn Google Sheets Ideas into AI Videos with GPT-4o and Fal.AI Veo 3,https://n8n.io/workflows/4881-turn-google-sheets-ideas-into-ai-videos-with-gpt-4o-and-falai-veo-3/
Deep Research - Sales Lead Magnet Agent,https://n8n.io/workflows/4721-deep-research-sales-lead-magnet-agent/
🤖 AI content generation for Auto Service 🚘 Automate your social media📲!,https://n8n.io/workflows/4600-ai-content-generation-for-auto-service-automate-your-social-media/
